timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600249793381,16589,BP07_S01_LogIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,1,1,null,0,1,0
1600249793382,16589,Log In,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1600249809973,72,BP07_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,126,0,1,1,null,0,0,0
1600249809973,72,Landing Page,200,OK,Thread Group 1-1,text,true,,126,0,1,1,null,0,0,0
1600249810046,12272,BP07_S03_StartSelftest,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,1,1,null,0,1,0
1600249810046,12272,Start Selftest,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1600249822320,4090,BP07_S04_WatchVideo (Escape),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,2,2,null,0,0,0
1600249822320,4090,Watch Video (Escape),200,OK,Thread Group 1-1,text,true,,0,0,2,2,null,0,0,0
1600249823376,16202,BP07_S01_LogIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,0,0,2,2,null,0,1,0
1600249823377,16202,Log In,200,OK,Thread Group 1-2,text,true,,0,0,2,2,null,0,0,0
1600249839580,52,BP07_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,126,0,2,2,null,0,0,0
1600249839580,52,Landing Page,200,OK,Thread Group 1-2,text,true,,126,0,2,2,null,0,0,0
1600249839632,12281,BP07_S03_StartSelftest,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,0,0,2,2,null,0,0,0
1600249839632,12281,Start Selftest,200,OK,Thread Group 1-2,text,true,,0,0,2,2,null,0,0,0
1600249826410,28509,BP07_S05_Questions,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,3,3,null,0,0,0
1600249826410,28509,Questions,200,OK,Thread Group 1-1,text,true,,0,0,3,3,null,0,0,0
1600249851914,4096,BP07_S04_WatchVideo (Escape),200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,0,0,3,3,null,0,1,0
1600249851914,4096,Watch Video (Escape),200,OK,Thread Group 1-2,text,true,,0,0,3,3,null,0,0,0
1600249854920,2033,BP07_S06_ParticipantWaitingRoom,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,3,3,null,0,2,0
1600249854921,2033,Join Waiting Room,200,OK,Thread Group 1-1,text,true,,0,0,3,3,null,0,0,0
