timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600166898425,15859,BP07_S01_LogIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,4,4,null,0,1,0
1600166898425,15859,Log In,200,OK,Thread Group 1-1,text,true,,0,0,4,4,null,0,0,0
1600166914286,43,BP07_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,126,0,4,4,null,0,0,0
1600166914286,43,Landing Page,200,OK,Thread Group 1-1,text,true,,126,0,4,4,null,0,0,0
1600166903426,15919,BP07_S01_LogIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,0,0,4,4,null,0,0,0
1600166903426,15919,Log In,200,OK,Thread Group 1-2,text,true,,0,0,4,4,null,0,0,0
1600166919347,46,BP07_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,126,0,4,4,null,0,0,0
1600166919347,46,Landing Page,200,OK,Thread Group 1-2,text,true,,126,0,4,4,null,0,0,0
1600166908424,15835,BP07_S01_LogIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,0,0,4,4,null,0,2,0
1600166908425,15835,Log In,200,OK,Thread Group 1-3,text,true,,0,0,4,4,null,0,0,0
1600166924263,44,BP07_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,126,0,4,4,null,0,0,0
1600166924263,44,Landing Page,200,OK,Thread Group 1-3,text,true,,126,0,4,4,null,0,0,0
1600166914330,12255,BP07_S03_StartSelftest,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,0,0,4,4,null,0,0,0
1600166914330,12255,Start Selftest,200,OK,Thread Group 1-1,text,true,,0,0,4,4,null,0,0,0
1600166913426,16060,BP07_S01_LogIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,0,0,4,4,null,0,0,0
1600166913426,16060,Log In,200,OK,Thread Group 1-4,text,true,,0,0,4,4,null,0,0,0
1600166929488,43,BP07_S02_LandingPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,126,0,4,4,null,0,1,0
1600166929489,43,Landing Page,200,OK,Thread Group 1-4,text,true,,126,0,4,4,null,0,0,0
