RUN	uk.gov.hmcts.reform.simulation.adminWebCalls	report	1603982901851	VH-Admin-Web-Perf-Test	3.3.1
USER	Admin-Web-Perf-Test	1	START	1603982902792	1603982902792
REQUEST	1		01.01.Admin.Portal.Home	1603982902841	1603982902913	OK	 
REQUEST	1		01.02.Admin.Portal.Home	1603982916884	1603982917049	OK	 
REQUEST	1		01.03.Admin.Portal.Home	1603982925867	1603982926034	OK	 
USER	Admin-Web-Perf-Test	2	START	1603982932804	1603982932804
REQUEST	2		01.01.Admin.Portal.Home	1603982932805	1603982932893	OK	 
REQUEST	1		01.04.Admin.Portal.Home	1603982936347	1603982936614	OK	 
REQUEST	2		01.02.Admin.Portal.Home	1603982940292	1603982940471	OK	 
REQUEST	2		01.03.Admin.Portal.Home	1603982946375	1603982946490	OK	 
REQUEST	1		02.00.Admin.Portal.Login	1603982948051	1603982948248	OK	 
REQUEST	1		05.01.Admin.Portal.Back2Dashboard	1603982956740	1603982957005	OK	 
REQUEST	2		01.04.Admin.Portal.Home	1603982958782	1603982959046	OK	 
USER	Admin-Web-Perf-Test	3	START	1603982962806	1603982962806
REQUEST	3		01.01.Admin.Portal.Home	1603982962807	1603982962852	OK	 
REQUEST	1		05.02.Admin.Portal.Back2Dashboard	1603982968855	1603982968864	OK	 
REQUEST	2		02.00.Admin.Portal.Login	1603982969068	1603982969320	OK	 
REQUEST	3		01.02.Admin.Portal.Home	1603982970474	1603982970747	OK	 
REQUEST	2		05.01.Admin.Portal.Back2Dashboard	1603982975636	1603982975931	OK	 
REQUEST	3		01.03.Admin.Portal.Home	1603982977745	1603982977912	OK	 
REQUEST	1		06.01.Admin.Portal.BookHearing	1603982977421	1603982978001	OK	 
REQUEST	1		06.02.Admin.Portal.BookHearing	1603982984236	1603982984318	OK	 
REQUEST	3		01.04.Admin.Portal.Home	1603982984236	1603982984469	OK	 
REQUEST	2		05.02.Admin.Portal.Back2Dashboard	1603982988324	1603982988556	OK	 
REQUEST	1		07.01.Admin.Portal.HearingDetails	1603982990302	1603982990311	OK	 
USER	Admin-Web-Perf-Test	4	START	1603982992794	1603982992794
REQUEST	4		01.01.Admin.Portal.Home	1603982992795	1603982992842	OK	 
REQUEST	1		07.02.Admin.Portal.HearingDetails	1603982996675	1603982996710	OK	 
REQUEST	3		02.00.Admin.Portal.Login	1603982996815	1603982997052	OK	 
REQUEST	2		06.01.Admin.Portal.BookHearing	1603982997325	1603982997334	OK	 
REQUEST	2		06.02.Admin.Portal.BookHearing	1603983002662	1603983002681	OK	 
REQUEST	4		01.02.Admin.Portal.Home	1603983004884	1603983005077	OK	 
REQUEST	2		07.01.Admin.Portal.HearingDetails	1603983008404	1603983008413	OK	 
REQUEST	3		05.01.Admin.Portal.Back2Dashboard	1603983008244	1603983008443	OK	 
REQUEST	1		08.01.Admin.Portal.HearingSchedule	1603983010984	1603983010993	OK	 
REQUEST	4		01.03.Admin.Portal.Home	1603983013725	1603983013886	OK	 
REQUEST	2		07.02.Admin.Portal.HearingDetails	1603983017278	1603983017305	OK	 
REQUEST	3		05.02.Admin.Portal.Back2Dashboard	1603983018572	1603983018581	OK	 
USER	Admin-Web-Perf-Test	5	START	1603983022804	1603983022804
REQUEST	5		01.01.Admin.Portal.Home	1603983022805	1603983022879	OK	 
REQUEST	3		06.01.Admin.Portal.BookHearing	1603983026566	1603983026574	OK	 
REQUEST	1		08.02.Admin.Portal.HearingSchedule	1603983026950	1603983027069	OK	 
REQUEST	4		01.04.Admin.Portal.Home	1603983027706	1603983027933	OK	 
REQUEST	5		01.02.Admin.Portal.Home	1603983028497	1603983028672	OK	 
REQUEST	2		08.01.Admin.Portal.HearingSchedule	1603983028807	1603983028821	OK	 
REQUEST	5		01.03.Admin.Portal.Home	1603983035445	1603983035623	OK	 
REQUEST	1		09.01.Admin.Portal.AssignJudge	1603983040444	1603983040463	OK	 
REQUEST	3		06.02.Admin.Portal.BookHearing	1603983041133	1603983041157	OK	 
REQUEST	4		02.00.Admin.Portal.Login	1603983042386	1603983043057	OK	 
REQUEST	2		08.02.Admin.Portal.HearingSchedule	1603983043734	1603983043828	OK	 
REQUEST	5		01.04.Admin.Portal.Home	1603983045165	1603983045401	OK	 
REQUEST	1		10.01.Admin.Portal.AddParticipant	1603983046496	1603983046506	OK	 
